p, decay_rate, fitness, break_times
0.5, 0.009, 0.185, [19 30 32 41 53 55]
0.5, 0.005, 0.32, [15 18 30 46 51 57]
0.5, 0.0009, 0.5275000000000001, [13 30 36 40 50 52]
0.5, 0.0005, 0.5023076923076923, [ 4 13 15 40 49 53]
0.5, 9e-05, 0.5549999999999999, [ 3  4 17 31 38 40]
0.5, 5e-05, 0.64, [ 4 38 49 51 52 53]
0.5, -0.009, 0.985, [ 4 10 16 21 22 25]
0.5, -0.005, 0.8418181818181817, [ 5  6 11 17 19 31]
0.5, -0.0009, 0.6033333333333334, [ 9 14 17 20 32 33]
0.5, -0.0005, 0.5671428571428571, [ 5 10 23 25 30 33]
0.5, -9e-05, 0.6, [20 22 24 45 46 53]
0.5, -5e-05, 0.5900000000000001, [ 4  6 11 17 41 51]
0.525, 0.009, 0.4766666666666666, [17 19 28 44 48 54]
0.525, 0.005, 0.61, [ 8 17 27 29 34 37]
0.525, 0.0009, 0.7999999999999999, [18 26 27 45 47 53]
0.525, 0.0005, 0.81, [ 0  5 17 38 41 50]
0.525, 9e-05, 0.86, [10 21 24 31 32 45]
0.525, 5e-05, 0.81, [14 22 27 35 42 49]
0.525, -0.009, 0.9975, [ 6  9 21 22 28 30]
0.525, -0.005, 0.9866666666666667, [ 4  5  7  8 12 27]
0.525, -0.0009, 0.8799999999999999, [ 4  8 17 24 27 28]
0.525, -0.0005, 0.8675, [ 2 10 16 17 18 52]
0.525, -9e-05, 0.85, [ 6 11 12 28 29 45] 
0.525, -5e-05, 0.8599999999999999, [ 4 10 23 33 44 49]
0.55, 0.009, 0.75, [11 21 26 37 50 52]
0.55, 0.005, 0.8559999999999998, [ 9 22 31 37 50 51]
0.55, 0.0009, 0.96, [ 9 22 29 31 32 45]
0.55, 0.0005, 0.9699999999999999, [ 7  8 21 41 44 48]
0.55, 9e-05, 0.9600000000000001, [ 3  7  8 14 29 49]
0.55, 5e-05, 0.9649999999999999, [10 17 29 30 33 40]
0.55, -0.009, 1.0, [20 30 32 35 36 37]
0.55, -0.005, 1.0, [ 3  8  9 11 27 42]
0.55, -0.0009, 0.99, [ 1 14 16 34 35 49]
0.55, -0.0005, 0.9800000000000001, [ 3  7 20 29 30 51]
0.55, -9e-05, 0.965, [ 0 11 15 32 35 37]
0.55, -5e-05, 0.98, [ 2  8 14 15 19 21]
0.575, 0.009, 0.925, [ 9 11 28 31 39 54]
0.575, 0.005, 0.975, [ 3 18 32 48 49 50]
0.575, 0.0009, 0.9999999999999999, [16 20 21 32 35 37]
0.575, 0.0005, 1.0, [ 1  9 11 29 37 45]
0.575, 9e-05, 0.9966666666666668, [14 26 31 33 39 48]
0.575, 5e-05, 1.0, [ 9 32 42 43 44 54]
0.575, -0.009, 1.0, [ 0  7 31 34 35 44]
0.575, -0.005, 0.9999999999999999, [ 8 15 32 35 40 46]
0.575, -0.0009, 1.0, [ 3 15 16 18 32 50]
0.575, -0.0005, 1.0, [11 19 22 26 48 53]
0.575, -9e-05, 1.0, [11 13 29 31 44 54]
0.575, -5e-05, 1.0, [ 3 19 21 26 31 47]
0.6, 0.009, 0.99, [ 1 17 18 25 42 53]
0.525, 0.005, 0.61, [ 8 17 27 29 34 37]
0.525, 0.0009, 0.7999999999999999, [18 26 27 45 47 53]
0.525, 0.0005, 0.81, [ 0  5 17 38 41 50]
0.525, 9e-05, 0.86, [10 21 24 31 32 45]
0.525, 5e-05, 0.81, [14 22 27 35 42 49]
0.525, -0.009, 0.9975, [ 6  9 21 22 28 30]
0.525, -0.005, 0.9866666666666667, [ 4  5  7  8 12 27]
0.525, -0.0009, 0.8799999999999999, [ 4  8 17 24 27 28]
0.525, -0.0005, 0.8675, [ 2 10 16 17 18 52]
0.525, -9e-05, 0.85, [ 6 11 12 28 29 45] 
0.525, -5e-05, 0.8599999999999999, [ 4 10 23 33 44 49]
0.55, 0.009, 0.75, [11 21 26 37 50 52]
0.55, 0.005, 0.8559999999999998, [ 9 22 31 37 50 51]
0.55, 0.0009, 0.96, [ 9 22 29 31 32 45]
0.55, 0.0005, 0.9699999999999999, [ 7  8 21 41 44 48]
0.55, 9e-05, 0.9600000000000001, [ 3  7  8 14 29 49]
0.55, 5e-05, 0.9649999999999999, [10 17 29 30 33 40]
0.55, -0.009, 1.0, [20 30 32 35 36 37]
0.55, -0.005, 1.0, [ 3  8  9 11 27 42]
0.55, -0.0009, 0.99, [ 1 14 16 34 35 49]
0.55, -0.0005, 0.9800000000000001, [ 3  7 20 29 30 51]
0.55, -9e-05, 0.965, [ 0 11 15 32 35 37]
0.55, -5e-05, 0.98, [ 2  8 14 15 19 21]
0.575, 0.009, 0.925, [ 9 11 28 31 39 54]
0.575, 0.005, 0.975, [ 3 18 32 48 49 50]
0.575, 0.0009, 0.9999999999999999, [16 20 21 32 35 37]
0.575, 0.0005, 1.0, [ 1  9 11 29 37 45]
0.575, 9e-05, 0.9966666666666668, [14 26 31 33 39 48]
0.575, 5e-05, 1.0, [ 9 32 42 43 44 54]
0.575, -0.009, 1.0, [ 0  7 31 34 35 44]
0.575, -0.005, 0.9999999999999999, [ 8 15 32 35 40 46]
0.575, -0.0009, 1.0, [ 3 15 16 18 32 50]
0.575, -0.0005, 1.0, [11 19 22 26 48 53]
0.575, -9e-05, 1.0, [11 13 29 31 44 54]
0.575, -5e-05, 1.0, [ 3 19 21 26 31 47]
0.6, 0.009, 0.99, [ 1 17 18 25 42 53]
0.6, 0.005, 1.0, [15 41 46 47 48 54]
0.6, 0.0009, 1.0, [ 2 11 27 31 29 45]
0.6, 0.0005, 1.0, [12 18 23 31 36 54]
0.6, 9e-05, 0.9999999999999999, [ 3  7 16 36 45 49]
0.6, 5e-05, 1.0, [ 3 28 32 36 44 46]
0.6, -0.009, 1.0, [ 1  4 23 28 41 50]
0.6, -0.005, 1.0, [ 1  5 36 42 46 48]
0.6, -0.0009, 1.0, [13 16 21 25 27 52]
0.6, -0.0005, 1.0, [17 25 27 37 46 54]
0.6, -9e-05, 1.0, [13 29 40 41 42 46]
0.6, -5e-05, 1.0, [15 19 28 40 48 49]
0.6, 0.0009, 1.0, [ 2 11 27 31 29 45]
0.6, 0.0005, 1.0, [12 18 23 31 36 54]
0.6, 9e-05, 0.9999999999999999, [ 3  7 16 36 45 49]
0.6, 5e-05, 1.0, [ 3 28 32 36 44 46]
0.6, -0.009, 1.0, [ 1  4 23 28 41 50]
0.6, -0.005, 1.0, [ 1  5 36 42 46 48]
0.6, -0.0009, 1.0, [13 16 21 25 27 52]
0.6, -0.0005, 1.0, [17 25 27 37 46 54]
0.6, -9e-05, 1.0, [13 29 40 41 42 46]
0.6, -5e-05, 1.0, [15 19 28 40 48 49]
